keyword,product_name,price,price_original,discount_percentage,rating,shop.name,url
laptop,Lenovo Thinkpad T490 - T480 - T470 - T460 14 Inch Core i5 / i7 BIG SALE,3500000,,0,,ASIA LAPTOP,https://www.tokopedia.com/asia-laptop/lenovo-thinkpad-t490-t480-t470-t460-14-inch-core-i5-i7-big-sale-1733181122231895639-1735038017258423895?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D20260518045735FE73F687E5BC523420G3%26src%3Dsearch
laptop,"Laptop ZYREX Bunaken Intel Celeron N4020 RAM 4GB 14"" HD Windows 10 – 64GB eMMC (Opsional SSD M.2 128/256) Port Lengkap Type-C/HDMI – Garansi Resmi 1 Tahun",3349000,Rp4.199.000,20,,Zyrex Indonesia Store,https://www.tokopedia.com/zyrex-indonesia-store/laptop-zyrex-bunaken-intel-celeron-n4020-ram-4gb-14-hd-windows-10-64gb-emmc-opsional-ssd-m-2-128-256-port-lengkap-type-c-hdmi-garansi-resmi-1-tahun-1734417958094537911-1735636758361834679?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D20260518045735FE73F687E5BC523420G3%26src%3Dsearch
laptop,"ADVAN Workplus Heritage Ryzen 5 7535HS 16GB/1TB 14"" IPS FHD WUXGA 1920 x 1200 16:10 Lightweigth Free Windows 11 Garansi Resmi 2 Tahun Laptop Notebook Desain Eksklusif Batik Megamendung",7694050,Rp10.999.000,30,4.9,ADVAN INDONESIA,https://www.tokopedia.com/advanstore/advan-workplus-heritage-ryzen-5-7535hs-16gb-1tb-14-ips-fhd-wuxga-1920-x-1200-16-10-lightweigth-free-windows-11-garansi-resmi-2-tahun-laptop-notebook-desain-eksklusif-batik-megamendung-1732205440219055975?extParam=ivf%3Dtrue%26keyword%3Dlaptop%26search_id%3D20260518045735FE73F687E5BC523420G3%26src%3Dsearch%26whid%3D21392088
laptop,LENOVO THINKPAD T14 GEN 2 CORE I7-1185G7 16GB 512SSD W11PRO 14.0FHD,6314454,Rp6.646.794,5,4.9,TOKO SHOLEH ONLINE,https://www.tokopedia.com/sholehonl/lenovo-thinkpad-t14-gen-2-core-i7-1185g7-16gb-512ssd-w11pro-14-0fhd-1731669153093485799?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D2026051804573034ED066DF378EF38E4S7%26src%3Dsearch
laptop,DELL LATITUDE 5300 i5-8365 8TH GEN / 16GB RAM / SSD 512GB /FHD/ BACKLITE,2232500,Rp2.350.000,5,4.9,Ari Speed Comp,https://www.tokopedia.com/arispeedcomp/dell-latitude-5300-i5-8365-8th-gen-16gb-ram-ssd-512gb-fhd-backlite-1731579536215278752?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D202605180457326FAA8040DA20EF214QNH%26src%3Dsearch
laptop,ASUS Vivobook GO 14 E1404FA Ryzen 3-7320U 8GB SSD 512GB Windows 11 14 FHD GREY BLACK,7551550,Rp13.099.000,42,5.0,GAMER.ID,https://www.tokopedia.com/gameridos/asus-vivobook-go-14-e1404fa-ryzen-3-7320u-8gb-ssd-512gb-windows-11-14-fhd-grey-black-1730989783325967969?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D2026051804573034ED066DF378EF38E4S7%26src%3Dsearch%26whid%3D10721961
laptop,"HP VICTUS 15 RTX4050-6GB Laptop Gaming 15.6"" IPS 144Hz Intel Core i5-13420H 32GB RAM 1TB SSD Windows 11 Home Bonus Tas & Mouse Gaming",14724050,Rp15.499.000,5,5.0,Eksklusif Komputer,https://www.tokopedia.com/ekskom/hp-victus-15-rtx4050-6gb-laptop-gaming-15-6-ips-144hz-intel-core-i5-13420h-32gb-ram-1tb-ssd-windows-11-home-bonus-tas-mouse-gaming-1730020857494472157-1735580493985908189?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D20260518045735FE73F687E5BC523420G3%26src%3Dsearch
laptop,Lenovo Ideapad Slim 3i i3-1315U 512GB SSD 8GB Win11+OHS,8435050,Rp9.499.000,11,5.0,lenovo authorized tangerang,https://www.tokopedia.com/lenovo-tangerang/lenovo-ideapad-slim-3i-i3-1315u-512gb-ssd-8gb-win11-ohs-1731416963606284286?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D20260518045735FE73F687E5BC523420G3%26src%3Dsearch
laptop,Laptop HP Pavilion 16 AMD Ryzen 5 8540u | Ryzen 7 8840u Win 11 Garansi 1th,7980000,Rp13.500.000,41,5.0,Notebook Labb,https://www.tokopedia.com/notebooklab/hp-pavilion-15-amd-ryzen-7-5700u-ram-32gb-ssd-nvme-1tb-fullhd-ips-windows-11-original-warna-fog-blue-1731098582218933559-1735550758273910071?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D2026051804573034ED066DF378EF38E4S7%26src%3Dsearch
laptop,"LAPTOP HP EliteBook 840 G8 Core i5 11TH RAM 32GB / SSD 1TB 14""",4512500,Rp4.750.000,5,4.9,US ELECTRONIC,https://www.tokopedia.com/us-electronic/laptop-hp-elitebook-840-g8-core-i5-11th-ram-32gb-ssd-1tb-14-1729888907439015041-1735172415278580865?extParam=ivf%3Dfalse%26keyword%3Dlaptop%26search_id%3D2026051804573034ED066DF378EF38E4S7%26src%3Dsearch
